   id   |                         idempotency_key                          | symbol |         bucket         | interval |        open         |        high         |         low         |        close        |       volume       | replay_run_id |        open_event_time        |       close_event_time        
--------+------------------------------------------------------------------+--------+------------------------+----------+---------------------+---------------------+---------------------+---------------------+--------------------+---------------+-------------------------------+-------------------------------
 382531 | 711290ad464d57cc404ae5662c30f156463ffedf1d5451bf4b04f1ff5bac4248 | HC-088 | 2026-03-01 17:22:26+00 | 1s       |  6.7606221419386925 |  6.7606221419386925 |  6.7606221419386925 |  6.7606221419386925 | 118.28552733262566 |               | 2026-03-01 17:22:26.598214+00 | 2026-03-01 17:22:26.598214+00
 382529 | 8d8dd3c3fe96dbd837443f6085a87c102f81fce10891a008f4cab84ee391e7b3 | HC-087 | 2026-03-01 17:22:26+00 | 1s       |                0.01 |                0.01 |                0.01 |                0.01 |  112.7218964639087 |               | 2026-03-01 17:22:26.597522+00 | 2026-03-01 17:22:26.597522+00
 382527 | d95c92bf0c3bfc1a5a44e9abaf1216fd8971a80b1a48e5eddc8560d822cef24b | HC-084 | 2026-03-01 17:22:26+00 | 1s       |  10.368030799503119 |  10.368030799503119 |  10.368030799503119 |  10.368030799503119 | 117.63967147876795 |               | 2026-03-01 17:22:26.59575+00  | 2026-03-01 17:22:26.59575+00
 382525 | 4431b79f16f061122485c04d0a8845ab7cd30143cc29c134e060566167381e67 | HC-079 | 2026-03-01 17:22:26+00 | 1s       |   10.54233383338978 |   10.54233383338978 |   10.54233383338978 |   10.54233383338978 |   112.349243919354 |               | 2026-03-01 17:22:26.591887+00 | 2026-03-01 17:22:26.591887+00
 382523 | 8ed356cf9086670b847c44aaf15f60d164c7fdcddf6249ba4d0f86645a545db5 | HC-070 | 2026-03-01 17:22:26+00 | 1s       |  4.6640163941705275 |  4.6640163941705275 |  4.6640163941705275 |  4.6640163941705275 | 102.11884252906621 |               | 2026-03-01 17:22:26.586851+00 | 2026-03-01 17:22:26.586851+00
 382521 | e42caac7e2924cad5c1516270494bd326ec71db2c608fa5ef2ed1e26fdbfd910 | HC-066 | 2026-03-01 17:22:26+00 | 1s       |   4.190032059701463 |   4.190032059701463 |   4.190032059701463 |   4.190032059701463 | 107.95549503176018 |               | 2026-03-01 17:22:26.583738+00 | 2026-03-01 17:22:26.583738+00
 382519 | af7ca044c5e45b09f8c310c7e6736561ec15f20989eafa6b2743a20191a9f4d1 | HC-064 | 2026-03-01 17:22:26+00 | 1s       |  2.8034564838242564 |  2.8034564838242564 |  2.8034564838242564 |  2.8034564838242564 | 116.95959853766911 |               | 2026-03-01 17:22:26.581815+00 | 2026-03-01 17:22:26.581815+00
 382517 | 9fb696dce85fa3da1c51d9b716cd650a47780d7c71d2e2d8c4564e1690f1bab4 | HC-063 | 2026-03-01 17:22:26+00 | 1s       |   18.46883218893241 |   18.46883218893241 |   18.46883218893241 |   18.46883218893241 | 106.86264056853409 |               | 2026-03-01 17:22:26.581447+00 | 2026-03-01 17:22:26.581447+00
 382515 | f82d4dbaf4867fc0b6ff470c233d1c21dad94750b1a41980d31a55e7cca4c5ac | HC-062 | 2026-03-01 17:22:26+00 | 1s       |   9.715660475670719 |   9.715660475670719 |   9.715660475670719 |   9.715660475670719 | 118.62010998139831 |               | 2026-03-01 17:22:26.580173+00 | 2026-03-01 17:22:26.580173+00
 382513 | a07c52b4e96dce3860a1d1be4f357f404589e7546e54ca40999c2db27a2fa16a | HC-059 | 2026-03-01 17:22:26+00 | 1s       |  0.7081686222255585 |  0.7081686222255585 |  0.7081686222255585 |  0.7081686222255585 |   103.152630350355 |               | 2026-03-01 17:22:26.577672+00 | 2026-03-01 17:22:26.577672+00
 382511 | 4308367760bdd0d1945481d461b03d96426ed5e60c4ef9302b2e2ba3c07c2970 | HC-058 | 2026-03-01 17:22:26+00 | 1s       |  1.3972668847910854 |  1.3972668847910854 |  1.3972668847910854 |  1.3972668847910854 | 107.47784401020844 |               | 2026-03-01 17:22:26.575443+00 | 2026-03-01 17:22:26.575443+00
 382509 | 4079670ebaa844035d9645ad03f4a99fa72cbc356b129f11484c803b63537982 | HC-057 | 2026-03-01 17:22:26+00 | 1s       |  1.1445029888730291 |  1.1445029888730291 |  1.1445029888730291 |  1.1445029888730291 | 112.91933768141502 |               | 2026-03-01 17:22:26.574816+00 | 2026-03-01 17:22:26.574816+00
 382507 | b059ba9686128f0e3e116955225f3ed402c057c0f1d379bf88340b52257baafa | HC-052 | 2026-03-01 17:22:26+00 | 1s       |   9.873013270815278 |   9.873013270815278 |   9.873013270815278 |   9.873013270815278 | 100.03757626498052 |               | 2026-03-01 17:22:26.569749+00 | 2026-03-01 17:22:26.569749+00
 382505 | dcaa52a6510ffbf00d7a565f95eda3a6e5ddd500af9cc82a3d9dd2afcdc55bc4 | HC-049 | 2026-03-01 17:22:26+00 | 1s       | 0.20559915699656672 | 0.20559915699656672 | 0.20559915699656672 | 0.20559915699656672 | 102.66662908938434 |               | 2026-03-01 17:22:26.566693+00 | 2026-03-01 17:22:26.566693+00
